Symbol,Ticker,Date,Price,Score,Grade,Screen1,Screen2,MACD_H_Score,MACD_Line_Score,EMA_Score,KC_Score,FI_Score,Stoch_Score,Pattern_Score,All_Weekly,Weekly_MACD_H,Weekly_EMA_20,Weekly_EMA_50,Weekly_EMA_100,Daily_FI2,Daily_Stoch_K,Daily_RSI,Pattern,Entry,Stop,Target,CMP,Diff
INTUIT INC. (XNAS:INTU),INTU,04/11/2025,660.42,8,A,5,3,2,1,2,1,1,1,0,Yes,-7.5719,683.78,672.96,655.04,-156482,38.1,53.4,None,677.8,647.8,722.8, $655.75 , $-4.67 
"DEXCOM, INC. (XNAS:DXCM)",DXCM,04/11/2025,61.18,8,B,4,4,2,2,0,2,1,1,0,No,-1.6967,71.88,78.38,88,-36220,30.3,40.4,None,61.21,56.33,68.53, $66.33 , $5.15 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,04/11/2025,109.3,7,B,3,4,0,1,2,2,1,1,0,No,-2.4565,116.47,107.32,92.27,-2352524,10.3,31.7,None,113.46,107.3,122.7, $96.71 , $-12.59 
"ANALOG DEVICES, INC. (XNAS:ADI)",ADI,04/11/2025,229.38,7,B,3,4,0,1,2,2,1,1,0,No,-2.0596,234.68,226.82,219.82,-49198,3.1,39.9,None,237.24,228.3,250.65, $276.24 , $46.86 
BOOKING HOLDINGS INC. (XNAS:BKNG),BKNG,04/11/2025,4991.76,7,B,3,4,0,1,2,2,1,1,0,No,-88.3402,5289.55,5080.12,4681.1,-436079,16.9,45.9,None,5090.32,4918.27,5348.39," $5,195.76 ", $204.00 
CINTAS CORPORATION (XNAS:CTAS),CTAS,04/11/2025,184.11,7,B,4,3,2,2,0,2,0,1,0,No,-3.492,201.32,202.65,192.2,5417,21.6,45.1,None,183.41,180.03,188.48, $183.15 , $-0.96 
KEURIG DR PEPPER INC. (XNAS:KDP),KDP,04/11/2025,26.46,7,B,4,3,2,2,0,1,1,1,0,No,-0.3073,29.24,31.23,32.01,-36813,1.7,47.1,None,27.13,26.35,28.3, $29.06 , $2.60 
SIRIUS XM HOLDINGS INC. (XNAS:SIRI),SIRI,04/11/2025,21.83,7,B,4,3,2,2,0,1,1,1,0,No,-0.098,22.39,24.16,29.35,-1351,35,49.6,None,21.93,20.9,23.48, $21.92 , $0.09 
EBAY INC. (XNAS:EBAY),EBAY,04/11/2025,81.68,7,B,3,4,0,1,2,2,1,1,0,No,-1.698,86.45,77.9,68.29,-58135,11.7,35.1,None,83.31,78.94,89.87, $83.89 , $2.21 
"DOORDASH, INC. (XNAS:DASH)",DASH,04/11/2025,239.93,7,B,3,4,0,1,2,2,1,1,0,No,-3.4969,246.78,217.73,185.04,-363634,7.2,26.4,None,258.26,237.67,289.14, $229.99 , $-9.94 
"COINBASE GLOBAL, INC. (XNAS:COIN)",COIN,04/11/2025,307.32,7,B,3,4,0,1,2,2,1,1,0,No,-4.3161,323.99,290.04,254.47,-3531823,0.7,41.4,None,343.14,306.24,398.49, $277.36 , $-29.96 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,03/11/2025,928.04,8,A,6,2,2,2,2,1,0,1,0,Yes,-3.9332,945.95,940.58,890.13,384916,35.3,42.5,None,920.92,906.56,942.46, $888.44 , $-39.60 
"DEXCOM, INC. (XNAS:DXCM)",DXCM,03/11/2025,60.43,8,B,4,4,2,2,0,2,1,1,0,No,-1.7446,71.81,78.35,87.99,-216746,25.5,36.9,None,60.42,56.33,66.56, $66.33 , $5.90 
CINTAS CORPORATION (XNAS:CTAS),CTAS,03/11/2025,182.04,8,B,4,4,2,2,0,2,1,1,0,No,-3.6241,201.12,202.57,192.16,-11913,9.6,40.6,None,184.98,180.03,192.4, $183.15 , $1.11 
EBAY INC. (XNAS:EBAY),EBAY,03/11/2025,82.77,8,B,3,5,0,1,2,2,1,1,1,No,-1.6284,86.56,77.94,68.32,-114048,16.7,36.2,Bullish Engulfing,82.97,78.94,89.02, $83.89 , $1.12 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,03/11/2025,110.01,7,B,3,4,0,1,2,2,1,1,0,No,-2.4112,116.54,107.34,92.28,-3484140,14.4,31.2,None,113.6,107.3,123.05, $96.71 , $-13.30 
"SYNOPSYS, INC. (XNAS:SNPS)",SNPS,03/11/2025,445.72,7,B,4,3,2,2,0,1,1,1,0,No,-13.5748,496.99,508.12,519.08,-129491,31.6,51.1,None,456.7,436.69,486.71, $465.85 , $20.13 
"O'Reilly Automotive, Inc. (XNAS:ORLY)",ORLY,03/11/2025,91.7,7,B,3,4,0,1,2,2,1,1,0,No,-1.6416,98.32,92.66,85.13,-103195,11.1,12.6,None,95.72,90.87,102.99, $94.25 , $2.55 
"MARRIOTT INTERNATIONAL, INC. (XNAS:MAR)",MAR,03/11/2025,263.89,7,A,5,2,2,1,2,1,0,1,0,Yes,-0.6921,264.76,261.83,254.39,69347,35.6,45.1,None,261.81,256.25,270.15, $283.84 , $19.95 
"OLD DOMINION FREIGHT LINE, INC. (XNAS:ODFL)",ODFL,03/11/2025,137.51,7,B,4,3,2,2,0,1,1,1,0,No,-0.2089,146.97,160.24,167.27,-16232,26.9,53.8,None,141.41,133.76,152.88, $148.89 , $11.38 
Fastenal Company (XNAS:FAST),FAST,03/11/2025,41.04,7,B,3,4,0,1,2,2,1,1,0,No,-1.0992,44.52,42.32,39.52,-5835,11.8,36.1,None,41.79,40.63,43.53, $40.34 , $-0.70 
KEURIG DR PEPPER INC. (XNAS:KDP),KDP,03/11/2025,26.64,7,B,4,3,2,2,0,1,1,1,0,No,-0.2958,29.26,31.24,32.01,-74316,3.4,49.7,None,27.53,26.49,29.09, $29.06 , $2.42 
SIRIUS XM HOLDINGS INC. (XNAS:SIRI),SIRI,03/11/2025,21.89,7,B,4,3,2,2,0,1,1,1,0,No,-0.0941,22.4,24.16,29.35,-490,37.4,50.6,None,22.99,21.43,25.33, $21.92 , $0.02 
"DOORDASH, INC. (XNAS:DASH)",DASH,03/11/2025,242.05,7,B,3,4,0,1,2,2,1,1,0,No,-3.3616,246.99,217.81,185.09,-761370,2.4,29.4,None,261,240.52,291.72, $229.99 , $-12.06 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,31/10/2025,911.45,8,B,4,4,0,2,2,2,1,1,0,No,-4.9944,947.83,941.09,890.37,-66474,3.6,39.7,None,923.92,907.68,948.28, $888.44 , $-23.01 
ON SEMICONDUCTOR CORPORATION (XNAS:ON),ON,31/10/2025,50.08,7,B,4,3,2,2,0,1,1,1,0,No,-0.0089,50.39,53.45,60.3,-43165,19.2,49.9,None,51.93,49.84,55.06, $55.23 , $5.15 
"O'Reilly Automotive, Inc. (XNAS:ORLY)",ORLY,31/10/2025,94.44,7,B,3,4,0,1,2,2,1,1,0,No,-1.187,99.02,92.7,85.11,-11133,4.2,16.5,None,96.47,93.94,100.27, $94.25 , $-0.19 
Fastenal Company (XNAS:FAST),FAST,31/10/2025,41.15,7,B,3,4,0,1,2,2,1,1,0,No,-1.0035,44.89,42.37,39.53,-10611,14.2,40.8,None,41.67,40.68,43.16, $40.34 , $-0.81 
KEURIG DR PEPPER INC. (XNAS:KDP),KDP,31/10/2025,27.16,7,B,4,3,2,2,0,1,1,1,0,No,-0.3706,29.53,31.43,32.11,-61106,27.3,54.6,None,27.92,26.78,29.63, $29.06 , $1.90 
SIRIUS XM HOLDINGS INC. (XNAS:SIRI),SIRI,31/10/2025,21.69,7,B,4,3,2,2,0,1,1,1,0,No,-0.1181,22.45,24.25,29.4,-12404,29.5,51.7,None,23.5,21.91,25.88, $21.92 , $0.22 
EBAY INC. (XNAS:EBAY),EBAY,31/10/2025,81.31,7,B,3,4,0,1,2,2,1,1,0,No,-1.1726,86.95,77.75,68.17,-460875,2.9,36.7,None,87.97,80.55,99.1, $83.89 , $2.58 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,30/10/2025,920.18,8,A,6,2,2,2,2,1,0,1,0,Yes,-4.4373,948.67,941.44,890.54,59387,19.6,45.7,None,920.8,907.68,940.48, $888.44 , $-31.74 
INTUIT INC. (XNAS:INTU),INTU,30/10/2025,656.18,8,A,5,3,2,1,2,1,1,1,0,Yes,-8.8319,685.16,673.02,654.97,-85564,29.1,57.3,None,670.29,647.8,704.02, $655.75 , $-0.43 
"SYNOPSYS, INC. (XNAS:SNPS)",SNPS,30/10/2025,442.93,8,B,4,4,2,2,0,2,1,1,0,No,-15.2351,501.35,510.24,520.17,-174186,25.2,52.4,None,457.61,437.67,487.52, $465.85 , $22.92 
MICROSOFT CORPORATION (XNAS:MSFT),MSFT,30/10/2025,525.76,7,A,5,2,2,1,2,0,1,1,0,Yes,-1.8753,502.2,470.24,443.47,-5060592,41.4,64.1,None,546.82,528.29,574.62, $492.02 , $-33.74 
"Meta Platforms, Inc. (XNAS:META)",META,30/10/2025,666.47,7,B,3,4,0,1,2,2,1,1,0,No,-11.5229,713.63,663.42,591.48,-64636302,14.9,37.6,None,759.92,718.32,822.32, $656.96 , $-9.51 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,30/10/2025,108.9,7,B,3,4,0,1,2,2,1,1,0,No,-2.4655,116.94,107.12,92.11,-1038815,1.1,25,None,110.96,108.51,114.63, $96.71 , $-12.19 
"ANALOG DEVICES, INC. (XNAS:ADI)",ADI,30/10/2025,232.9,7,B,3,4,0,1,2,2,1,1,0,No,-1.5971,235.12,226.67,219.7,-32910,27.2,57.5,None,242.15,232.35,256.85, $276.24 , $43.34 
EBAY INC. (XNAS:EBAY),EBAY,30/10/2025,83.73,7,B,3,4,0,1,2,2,1,1,0,No,-1.0182,87.19,77.84,68.22,-1098274,1.4,41.6,None,101.22,93.44,112.89, $83.89 , $0.16 
"OKTA, INC. (XNAS:OKTA)",OKTA,30/10/2025,87.91,7,B,4,3,2,2,0,1,1,1,0,No,-0.6903,93.13,94.16,92.21,-2165,35.1,44.7,None,89.37,86.69,93.39, $87.79 , $-0.12 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,29/10/2025,912.42,8,B,4,4,0,2,2,2,1,1,0,No,-4.9325,947.93,941.13,890.39,-186046,5.4,37.2,None,931.65,907.68,967.61, $888.44 , $-23.98 
INTUIT INC. (XNAS:INTU),INTU,29/10/2025,656.04,8,A,5,3,2,1,2,1,1,1,0,Yes,-8.8409,685.14,673.02,654.97,-260459,30.9,55.5,None,689.59,661.44,731.82, $655.75 , $-0.29 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,29/10/2025,241.56,8,B,4,4,2,2,0,2,1,1,0,No,-3.4253,288.77,320.97,335.53,-204581,9.5,26.8,None,250.09,238.14,268.02, $205.13 , $-36.43 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,29/10/2025,110.04,7,B,3,4,0,1,2,2,1,1,0,No,-2.3927,117.05,107.16,92.13,-189083,8.1,25.1,None,111.81,108.51,116.76, $96.71 , $-13.33 
"SYNOPSYS, INC. (XNAS:SNPS)",SNPS,29/10/2025,455.34,7,B,4,3,2,2,0,1,1,1,0,No,-14.4431,502.53,510.73,520.42,-72498,42,37.4,None,462.86,443.56,491.81, $465.85 , $10.51 
"O'Reilly Automotive, Inc. (XNAS:ORLY)",ORLY,29/10/2025,94.52,7,B,3,4,0,1,2,2,1,1,0,No,-1.1819,99.02,92.7,85.11,-24055,5,32,None,98.02,93.83,104.3, $94.25 , $-0.27 
"OLD DOMINION FREIGHT LINE, INC. (XNAS:ODFL)",ODFL,29/10/2025,136.13,7,B,4,3,2,2,0,1,1,1,0,No,-0.675,147.55,161,167.75,-797,16.2,41.3,None,138.38,133.76,145.31, $148.89 , $12.76 
Fastenal Company (XNAS:FAST),FAST,29/10/2025,41.09,7,B,3,4,0,1,2,2,1,1,0,No,-1.0073,44.88,42.37,39.53,-23841,4.8,21.8,None,42.39,40.68,44.95, $40.34 , $-0.75 
KEURIG DR PEPPER INC. (XNAS:KDP),KDP,29/10/2025,27.15,7,B,4,3,2,2,0,1,1,1,0,No,-0.3713,29.53,31.43,32.11,-218015,36.3,58.6,None,29.13,27.34,31.81, $29.06 , $1.91 
"OKTA, INC. (XNAS:OKTA)",OKTA,29/10/2025,87.65,7,B,4,3,2,2,0,1,1,1,0,No,-0.7069,93.11,94.15,92.2,-10302,19.4,32.9,None,91.07,86.54,97.86, $87.79 , $0.14 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,28/10/2025,279.63,10,A,6,4,2,2,2,2,1,1,0,Yes,-2.7666,294.09,293.57,281.95,-14651,2.7,24.7,None,283.17,278.74,289.82, $258.23 , $-21.40 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,28/10/2025,924.16,9,A,6,3,2,2,2,1,1,1,0,Yes,-4.1833,949.04,941.59,890.62,-77644,9,53.5,None,934.13,918.36,957.78, $888.44 , $-35.72 
CINTAS CORPORATION (XNAS:CTAS),CTAS,28/10/2025,189.89,9,A,6,3,2,2,2,1,1,1,0,Yes,-3.2441,203.76,203.66,192.72,-553,39.8,37.7,None,191.44,186.78,198.43, $183.15 , $-6.74 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,28/10/2025,110.25,8,B,3,5,0,1,2,2,1,1,1,No,-2.3793,117.07,107.17,92.13,-113171,9.4,29.8,Bullish Engulfing,110.34,108.51,113.09, $96.71 , $-13.54 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,28/10/2025,124.05,8,B,4,4,2,2,0,2,1,1,0,No,-1.5521,134.44,138.34,136.4,-8478,16.6,39.6,None,125.42,122.77,129.4, $112.74 , $-11.31 
BOOKING HOLDINGS INC. (XNAS:BKNG),BKNG,28/10/2025,5120.57,8,A,5,3,2,1,2,1,1,1,0,Yes,-82.0264,5324.98,5085.41,4682.26,-819447,48.7,49.6,None,5268.7,5069.84,5566.99," $5,195.76 ", $75.19 
CME GROUP INC. (XNAS:CME),CME,28/10/2025,266.33,8,A,5,3,2,1,2,1,1,1,0,Yes,-1.4454,268.59,259.07,244.3,-39466,33.4,52.1,None,272.37,261.82,288.2, $270.12 , $3.79 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,28/10/2025,232.13,8,B,4,4,2,2,0,2,1,1,0,No,-4.345,261.5,272.78,268.59,-24914,20.1,34.2,None,235.61,231.38,241.96, $216.03 , $-16.10 
"SYNOPSYS, INC. (XNAS:SNPS)",SNPS,28/10/2025,456.83,7,B,4,3,2,2,0,1,1,1,0,No,-14.348,502.67,510.79,520.45,-133395,44.3,36.4,None,475.9,443.47,524.54, $465.85 , $9.02 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,28/10/2025,248.88,7,B,4,3,2,2,0,2,0,1,0,No,-2.9582,289.47,321.26,335.67,73826,18.5,25.7,None,247.91,242.32,256.3, $205.13 , $-43.75 
"COPART, INC. (XNAS:CPRT)",CPRT,28/10/2025,44.07,7,B,4,3,2,2,0,1,1,1,0,No,-0.0439,47.24,50.43,51.47,-4795,29.2,42.9,None,44.83,43.62,46.64, $38.44 , $-5.63 
"O'Reilly Automotive, Inc. (XNAS:ORLY)",ORLY,28/10/2025,96.3,7,B,3,4,0,1,2,2,1,1,0,No,-1.0683,99.19,92.77,85.15,-6708,22.7,33.7,None,97.12,93.83,102.06, $94.25 , $-2.05 
"OLD DOMINION FREIGHT LINE, INC. (XNAS:ODFL)",ODFL,28/10/2025,136.09,7,B,4,3,2,2,0,1,1,1,0,No,-0.6775,147.55,161,167.75,-4125,18.8,36.8,None,137.88,134.07,143.59, $148.89 , $12.80 
Fastenal Company (XNAS:FAST),FAST,28/10/2025,41.63,7,B,3,4,0,1,2,2,1,1,0,No,-0.9729,44.94,42.39,39.54,-22512,2.7,21.2,None,43.15,41.52,45.59, $40.34 , $-1.29 
"OKTA, INC. (XNAS:OKTA)",OKTA,28/10/2025,89.31,7,B,4,3,2,2,0,1,1,1,0,No,-0.6009,93.26,94.22,92.24,-1195,37.5,40.2,None,90.69,86.49,96.99, $87.79 , $-1.52 
"DOCUSIGN, INC. (XNAS:DOCU)",DOCU,28/10/2025,70.7,7,B,4,3,2,2,0,1,1,1,0,No,-0.6783,75.21,76.03,73.03,-3991,49,47.3,None,72.53,70.07,76.22, $69.39 , $-1.31 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,27/10/2025,280.53,10,A,6,4,2,2,2,2,1,1,0,Yes,-2.7091,294.17,293.61,281.97,-8416,8.3,23.2,None,283.14,279.53,288.56, $258.23 , $-22.30 
CINTAS CORPORATION (XNAS:CTAS),CTAS,27/10/2025,188.68,10,A,6,4,2,2,2,2,1,1,0,Yes,-3.3213,203.64,203.62,192.69,-15462,30.6,35.2,None,193.14,187.84,201.09, $183.15 , $-5.53 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,27/10/2025,929.85,9,A,6,3,2,2,2,1,1,1,0,Yes,-3.8202,949.59,941.82,890.73,-54813,35.6,55.8,None,943.94,923.27,974.95, $888.44 , $-41.41 
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),TXN,27/10/2025,169.41,8,B,4,4,2,2,0,2,1,1,0,No,-3.028,183.42,185.99,184.46,-47278,33.7,40.7,None,174.32,162.84,191.54, $179.52 , $10.11 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,27/10/2025,233.68,8,B,4,4,2,2,0,2,1,1,0,No,-4.2461,261.64,272.84,268.62,-10274,27.8,33.2,None,236.78,232.19,243.67, $216.03 , $-17.65 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,27/10/2025,109.46,7,B,3,4,0,1,2,2,1,1,0,No,-2.4297,116.99,107.14,92.12,-3225067,4.5,33.5,None,111.56,108.51,116.13, $96.71 , $-12.75 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,27/10/2025,245.44,7,B,4,3,2,2,0,2,0,1,0,No,-3.1777,289.14,321.12,335.61,14596,5.8,19.7,None,248.01,242.94,255.61, $205.13 , $-40.31 
"COPART, INC. (XNAS:CPRT)",CPRT,27/10/2025,44.16,7,B,4,3,2,2,0,1,1,1,0,No,-0.0381,47.25,50.43,51.48,-10089,32.7,49.5,None,45.32,44.01,47.29, $38.44 , $-5.72 
"Mondelez International, Inc. (XNAS:MDLZ)",MDLZ,27/10/2025,61.66,7,B,4,3,2,2,0,1,0,1,1,No,-0.273,63.4,64.8,66.32,19158,44.2,44.4,Bullish Engulfing,61.43,60.32,63.09, $54.11 , $-7.55 
"O'Reilly Automotive, Inc. (XNAS:ORLY)",ORLY,27/10/2025,95.79,7,B,3,4,0,1,2,2,1,1,0,No,-1.1009,99.14,92.75,85.14,-45427,17.6,28.8,None,99.59,95.17,106.22, $94.25 , $-1.54 
"OLD DOMINION FREIGHT LINE, INC. (XNAS:ODFL)",ODFL,27/10/2025,136.73,7,B,4,3,2,2,0,1,1,1,0,No,-0.6367,147.61,161.03,167.76,-44,20.9,43.5,None,138.28,134.07,144.6, $148.89 , $12.16 
Fastenal Company (XNAS:FAST),FAST,27/10/2025,42.54,7,B,3,4,0,1,2,2,1,1,0,No,-0.9148,45.02,42.43,39.56,-6557,17.3,24,None,43.32,42.3,44.85, $40.34 , $-2.20 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,24/10/2025,932.14,9,A,6,3,2,2,2,1,1,1,0,Yes,-4.4729,951.66,942.3,890.96,-95836,47,58.1,None,946.42,928.29,973.62, $888.44 , $-43.70 
CINTAS CORPORATION (XNAS:CTAS),CTAS,24/10/2025,190.83,9,A,6,3,2,2,2,1,1,1,0,Yes,-3.5177,205.22,204.23,193,-5880,43.7,37.7,None,195.93,187.89,207.99, $183.15 , $-7.68 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,24/10/2025,244.2,8,B,4,4,2,2,0,2,1,1,0,No,-3.8394,293.74,324.21,337.27,-19295,1.4,15.7,None,246.85,243.12,252.44, $205.13 , $-39.07 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,24/10/2025,124.6,8,B,4,4,2,2,0,2,1,1,0,No,-1.7452,135.53,138.93,136.71,-6102,15.5,50.8,None,127.09,123.96,131.79, $112.74 , $-11.86 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,24/10/2025,280.94,8,B,4,4,0,2,2,2,1,1,0,No,-2.8366,295.61,294.14,282.23,-11420,10.8,30.9,None,284.52,280.1,291.15, $258.23 , $-22.71 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,24/10/2025,234.94,8,B,4,4,2,2,0,2,1,1,0,No,-4.7493,264.59,274.44,269.47,-5273,34,36.2,None,238.09,231.64,247.77, $216.03 , $-18.91 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,24/10/2025,109.47,7,B,3,4,0,1,2,2,1,1,0,No,-2.1175,117.79,107.04,92.01,-9636612,0.2,39.3,None,112.89,109.22,118.4, $96.71 , $-12.76 
ON SEMICONDUCTOR CORPORATION (XNAS:ON),ON,24/10/2025,50.71,7,B,4,3,2,2,0,1,1,1,0,No,-0.0209,50.42,53.59,60.39,-52122,49,50.7,None,52.71,50.13,56.58, $55.23 , $4.52 
"O'Reilly Automotive, Inc. (XNAS:ORLY)",ORLY,24/10/2025,97.27,7,B,3,4,0,1,2,2,1,1,0,No,-0.6949,99.5,92.63,85.04,-58124,32.4,28.8,None,101.53,97.07,108.22, $94.25 , $-3.02 
"OLD DOMINION FREIGHT LINE, INC. (XNAS:ODFL)",ODFL,24/10/2025,136.12,7,B,4,3,2,2,0,1,1,1,0,No,-0.8599,148.76,162.02,168.39,-11745,16.2,40.8,None,141.39,134.15,152.25, $148.89 , $12.77 
Fastenal Company (XNAS:FAST),FAST,24/10/2025,42.87,7,B,3,4,0,1,2,2,1,1,0,No,-0.8022,45.28,42.42,39.55,-1213,21.5,24,None,43.28,42.38,44.63, $40.34 , $-2.53 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,23/10/2025,281.55,10,A,6,4,2,2,2,2,1,1,0,Yes,-2.7976,295.67,294.16,282.24,-20190,15.1,30.7,None,287.69,280.23,298.88, $258.23 , $-23.32 
CINTAS CORPORATION (XNAS:CTAS),CTAS,23/10/2025,192.34,9,A,6,3,2,2,2,1,1,1,0,Yes,-3.4214,205.36,204.28,193.03,-1668,44.7,35.5,None,197.2,188.88,209.68, $183.15 , $-9.19 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,23/10/2025,243.92,8,B,4,4,2,2,0,2,1,1,0,No,-3.8573,293.71,324.2,337.26,-68077,0.8,19.2,None,252.93,243.12,267.64, $205.13 , $-38.79 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,23/10/2025,124.75,8,B,4,4,2,2,0,2,1,1,0,No,-1.7356,135.55,138.93,136.71,-10883,25,50.5,None,128.7,124.21,135.43, $112.74 , $-12.01 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,23/10/2025,234.79,8,B,4,4,2,2,0,2,1,1,0,No,-4.7589,264.57,274.43,269.47,-18690,31.6,32.4,None,239.71,229.34,255.27, $216.03 , $-18.76 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,23/10/2025,111.36,7,B,3,4,0,1,2,2,1,1,0,No,-1.9968,117.97,107.12,92.05,-19073098,9.3,43.6,None,115.88,109.75,125.07, $96.71 , $-14.65 
"O'Reilly Automotive, Inc. (XNAS:ORLY)",ORLY,23/10/2025,98.27,7,B,3,4,0,1,2,2,1,1,0,No,-0.6311,99.59,92.67,85.06,-128390,37.9,27.9,None,101.84,97.32,108.62, $94.25 , $-4.02 
"OLD DOMINION FREIGHT LINE, INC. (XNAS:ODFL)",ODFL,23/10/2025,135.86,7,B,4,3,2,2,0,1,1,1,0,No,-0.8765,148.73,162.01,168.39,-37584,14.2,42.8,None,145.05,135.09,159.99, $148.89 , $13.03 
"DOORDASH, INC. (XNAS:DASH)",DASH,23/10/2025,254.59,7,B,3,4,0,1,2,2,1,1,0,No,-1.3646,246.44,215.15,183.41,-24755,20.3,38.8,None,263.09,246.23,288.38, $229.99 , $-24.60 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,22/10/2025,244.94,8,B,4,4,2,2,0,2,1,1,0,No,-3.7922,293.81,324.24,337.28,-146866,1.9,31.9,None,255.25,243.7,272.58, $205.13 , $-39.81 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,22/10/2025,283.95,8,A,6,2,2,2,2,1,0,1,0,Yes,-2.6445,295.9,294.26,282.29,4373,32.2,37.8,None,285.7,278.86,295.96, $258.23 , $-25.72 
CINTAS CORPORATION (XNAS:CTAS),CTAS,22/10/2025,193.54,8,A,6,2,2,2,2,1,0,1,0,Yes,-3.3448,205.48,204.33,193.06,17635,48.9,36.4,None,197.82,189.75,209.92, $183.15 , $-10.39 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,22/10/2025,111.64,7,B,3,4,0,1,2,2,1,1,0,No,-1.979,117.99,107.13,92.06,-55546630,2.9,42.7,None,124.98,118.08,135.33, $96.71 , $-14.93 
BOOKING HOLDINGS INC. (XNAS:BKNG),BKNG,22/10/2025,5230.59,7,A,5,2,2,1,2,1,0,1,0,Yes,-76.7093,5354.53,5087.29,4681.71,162727,43.8,42,None,5315.2,4986.68,5807.98," $5,195.76 ", $-34.83 
"PAYPAL HOLDINGS, INC. (XNAS:PYPL)",PYPL,22/10/2025,68.07,7,B,4,3,2,2,0,1,1,1,0,No,-0.0329,69.55,70.87,69.85,-42476,22.2,48.2,None,70.43,65.29,78.14, $60.78 , $-7.29 
Fastenal Company (XNAS:FAST),FAST,22/10/2025,42.6,7,B,3,4,0,1,2,2,1,1,0,No,-0.8195,45.26,42.41,39.54,-8816,16.3,20.2,None,43.54,41.52,46.57, $40.34 , $-2.26 
"DOCUSIGN, INC. (XNAS:DOCU)",DOCU,22/10/2025,70.56,7,B,4,3,2,2,0,1,1,1,0,No,-0.7793,75.6,76.21,73.12,-561,47.3,55.7,None,75.07,69.48,83.45, $69.39 , $-1.17 
"DOORDASH, INC. (XNAS:DASH)",DASH,22/10/2025,252.31,7,B,3,4,0,1,2,2,1,1,0,No,-1.5101,246.23,215.06,183.37,-369375,5.5,37.9,None,267.52,249.88,293.98, $229.99 , $-22.32 
"COINBASE GLOBAL, INC. (XNAS:COIN)",COIN,22/10/2025,320.33,7,B,3,4,0,1,2,2,1,1,0,No,-2.9363,320.59,285.77,251.98,-2201548,10.7,30.1,None,345.13,309.86,398.03, $277.36 , $-42.97 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,21/10/2025,252.52,8,B,4,4,2,2,0,2,1,1,0,No,-3.3085,294.53,324.54,337.43,-4034,11.9,32.9,None,254.66,247.67,265.14, $205.13 , $-47.39 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,21/10/2025,283.98,8,A,6,2,2,2,2,1,0,1,0,Yes,-2.6426,295.9,294.26,282.29,13805,32.4,35.4,None,284.03,278.86,291.78, $258.23 , $-25.75 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,21/10/2025,937.5,7,A,6,1,2,2,2,0,0,0,1,Yes,-4.1309,952.17,942.51,891.07,4250,55.9,58.5,Bullish Engulfing,940.74,919.32,972.87, $888.44 , $-49.06 
"Mondelez International, Inc. (XNAS:MDLZ)",MDLZ,21/10/2025,61.75,7,B,4,3,2,2,0,1,1,1,0,No,-0.2687,63.67,64.97,66.41,-36288,45.1,43,None,63.02,61.15,65.83, $54.11 , $-7.64 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,21/10/2025,237.03,7,B,4,3,2,2,0,2,0,1,0,No,-4.616,264.79,274.52,269.51,9427,37.5,34.8,None,235.78,227.63,248, $216.03 , $-21.00 
